Wind angle: 0.000000       Delta laptime: 0.216964
Wind angle: 7.346939       Delta laptime: 0.104911
Wind angle: 14.693878       Delta laptime: 0.066684
Wind angle: 22.040816       Delta laptime: 0.027254
Wind angle: 29.387755       Delta laptime: -0.013259
Wind angle: 36.734694       Delta laptime: -0.055554
Wind angle: 44.081633       Delta laptime: -0.095894
Wind angle: 51.428571       Delta laptime: -0.134428
Wind angle: 58.775510       Delta laptime: -0.174802
Wind angle: 66.122449       Delta laptime: -0.209966
Wind angle: 73.469388       Delta laptime: -0.244173
Wind angle: 80.816327       Delta laptime: -0.275269
Wind angle: 88.163265       Delta laptime: -0.302597
Wind angle: 95.510204       Delta laptime: -0.325723
Wind angle: 102.857143       Delta laptime: -0.344077
Wind angle: 110.204082       Delta laptime: -0.357116
Wind angle: 117.551020       Delta laptime: -0.364434
Wind angle: 124.897959       Delta laptime: -0.364163
Wind angle: 132.244898       Delta laptime: -0.360748
Wind angle: 139.591837       Delta laptime: -0.348677
Wind angle: 146.938776       Delta laptime: -0.329703
Wind angle: 154.285714       Delta laptime: -0.304389
Wind angle: 161.632653       Delta laptime: -0.270923
Wind angle: 168.979592       Delta laptime: -0.232999
Wind angle: 176.326531       Delta laptime: -0.188008
Wind angle: 183.673469       Delta laptime: -0.138565
Wind angle: 191.020408       Delta laptime: -0.084682
Wind angle: 198.367347       Delta laptime: -0.030941
Wind angle: 205.714286       Delta laptime: 0.023723
Wind angle: 213.061224       Delta laptime: 0.077150
Wind angle: 220.408163       Delta laptime: 0.128953
Wind angle: 227.755102       Delta laptime: 0.175150
Wind angle: 235.102041       Delta laptime: 0.215936
Wind angle: 242.448980       Delta laptime: 0.250985
Wind angle: 249.795918       Delta laptime: 0.278767
Wind angle: 257.142857       Delta laptime: 0.301591
Wind angle: 264.489796       Delta laptime: 0.318561
Wind angle: 271.836735       Delta laptime: 0.330004
Wind angle: 279.183673       Delta laptime: 0.336292
Wind angle: 286.530612       Delta laptime: 0.337707
Wind angle: 293.877551       Delta laptime: 0.334589
Wind angle: 301.224490       Delta laptime: 0.327014
Wind angle: 308.571429       Delta laptime: 0.315447
Wind angle: 315.918367       Delta laptime: 0.300163
Wind angle: 323.265306       Delta laptime: 0.281386
Wind angle: 330.612245       Delta laptime: 0.259248
Wind angle: 337.959184       Delta laptime: 0.207017
Wind angle: 345.306122       Delta laptime: 0.205917
Wind angle: 352.653061       Delta laptime: 0.174614
Wind angle: 360.000000       Delta laptime: 0.140771
